"","SA","cancer","gene"
"169",0.00720286959641767,"BLCA","ENSG00000138162.18"
"170",0.120241661405191,"BLCA","ENSG00000074219.13"
"171",0,"BLCA","ENSG00000196440.11"
"172",0,"BLCA","ENSG00000149532.15"
"173",0.186995542355208,"BLCA","ENSG00000117419.14"
"174",0,"BLCA","ENSG00000154803.12"
"175",0,"BLCA","ENSG00000264187.1"
"176",0,"BLCA","ENSG00000136754.16"
"177",0,"BLCA","ENSG00000125744.11"
"178",0.00664064439515309,"BLCA","ENSG00000145425.9"
"179",0.059896088118002,"BLCA","ENSG00000204634.12"
"180",0,"BLCA","ENSG00000047849.21"
"181",0.320894489543641,"BLCA","ENSG00000104936.17"
"182",0.164234592733669,"BLCA","ENSG00000136842.13"
"183",0,"BLCA","ENSG00000126698.10"
"184",0.0124589629959826,"BLCA","ENSG00000169991.10"
"185",0.00959052893462793,"BLCA","ENSG00000126777.17"
"186",0.000770833302456511,"BLCA","ENSG00000157326.18-ENSG00000187630.15"
"187",0.00769391084980216,"BLCA","ENSG00000187630.15"
"188",0.106079251320055,"BLCA","ENSG00000187758.7-ENSG00000196616.13"
"189",0.21698684453703,"BLCA","ENSG00000169239.12"
"190",0,"BLCA","ENSG00000136936.10"
"191",0.0178359414107785,"BLCA","ENSG00000136717.14"
"192",0.12795874330766,"BLCA","ENSG00000100106.19"
"193",0,"BLCA","ENSG00000244754.8"
"194",0,"BLCA","ENSG00000157916.19"
"195",0,"BLCA","ENSG00000119048.7"
"196",0.0154544220196322,"BLCA","ENSG00000203485.12"
"197",0,"BLCA","ENSG00000153815.16"
"198",0.00327381704115529,"BLCA","ENSG00000041988.15"
"199",0.000510789474443748,"BLCA","ENSG00000204577.11-ENSG00000131042.14"
"200",0,"BLCA","ENSG00000204577.11-ENSG00000239961.2"
"201",0,"BLCA","ENSG00000244482.10-ENSG00000131042.14"
"202",0,"BLCA","ENSG00000244482.10-ENSG00000239961.2"
"203",0,"BLCA","ENSG00000131042.14-ENSG00000239961.2"
"204",0,"BLCA","ENSG00000284461.1"
"205",0.0269329664379229,"BLCA","ENSG00000105609.16-ENSG00000131042.14"
"206",0.00479359183502442,"BLCA","ENSG00000131042.14"
"207",0.539015086505001,"BLCA","ENSG00000150540.13"
"208",0,"BLCA","ENSG00000132510.10-ENSG00000167874.6"
"209",0,"BLCA","ENSG00000163734.4-ENSG00000081041.8"
"210",0,"BLCA","ENSG00000101246.19"
"211",0.193934839188806,"BLCA","ENSG00000105662.15"
"212",0,"BLCA","ENSG00000114270.17"
"213",0.036046359600803,"BLCA","ENSG00000131759.17"
"214",0.13758389287048,"BLCA","ENSG00000008710.19"
"215",0.00318005490918504,"BLCA","ENSG00000081154.11"
"216",0.0127284739467383,"BLCA","ENSG00000185630.18"
"217",0.108410423228543,"BLCA","ENSG00000241973.10"
"218",0.00507410381815341,"BLCA","ENSG00000101079.20"
"219",0.0294929605991339,"BLCA","ENSG00000148498.15"
"220",0.1622635835797,"BLCA","ENSG00000254996.5"
"221",0.0298007627455839,"BLCA","ENSG00000100359.20"
"222",0,"BLCA","ENSG00000284431.1"
"223",0.121605832226869,"BLCA","ENSG00000273590.4"
"224",0.523573687724485,"BLCA","ENSG00000068745.14"
"225",0,"BLCA","ENSG00000139620.12"
"226",0.257855730335848,"BLCA","ENSG00000254206.5"
"227",0.156484997037743,"BLCA","ENSG00000169203.16"
"228",0,"BLCA","ENSG00000267228.7"
"229",0,"BLCA","ENSG00000102316.16"
"230",0.00763103392319713,"BLCA","ENSG00000156299.13"
"231",0.000851115692151752,"BLCA","ENSG00000116786.11"
"232",0.00615304314478841,"BLCA","ENSG00000100842.12"
"233",0,"BLCA","ENSG00000204681.10"
"234",0.00715417487826844,"BLCA","ENSG00000092096.16"
"235",0.00800422487701918,"BLCA","ENSG00000256500.5"
"236",0,"BLCA","ENSG00000169902.13"
"237",0.000209538989159208,"BLCA","ENSG00000130702.15"
"238",0,"BLCA","ENSG00000168066.20"
"239",0,"BLCA","ENSG00000249773.3"
"240",0,"BLCA","ENSG00000108523.15"
"241",0.365842862751774,"BLCA","ENSG00000204843.12"
"242",0,"BLCA","ENSG00000237440.8"
"243",0,"BLCA","ENSG00000237440.8-ENSG00000188171.15"
"244",0,"BLCA","ENSG00000132510.10"
"245",0,"BLCA","ENSG00000196611.4-ENSG00000149968.11"
"246",0.264486146491897,"BLCA","ENSG00000100211.10"
"247",0,"BLCA","ENSG00000073605.18"
"248",0.000989461087042246,"BLCA","ENSG00000262576.2"
"249",0.148811742625568,"BLCA","ENSG00000261371.5"
"250",0,"BLCA","ENSG00000116580.18"
"251",0.113881954230008,"BLCA","ENSG00000119729.11"
"252",0,"BLCA","ENSG00000148337.20"
"253",0.00289213981510194,"BLCA","ENSG00000178209.14"
"254",0,"BLCA","ENSG00000242574.8"
"255",0.172601885035558,"BLCA","ENSG00000197381.15"
"256",0.0442943331159618,"BLCA","ENSG00000255245.4"
"257",0,"BLCA","ENSG00000112305.14"
"258",0.0131116232459945,"BLCA","ENSG00000141338.13-ENSG00000154258.16"
"259",0.00268190520274304,"BLCA","ENSG00000125354.22"
"260",0.00829488462065565,"BLCA","ENSG00000101017.13"
"261",0.334526728819934,"BLCA","ENSG00000148343.18"
"262",0.00430340276049323,"BLCA","ENSG00000187079.16"
"263",0.000527044575617441,"BLCA","ENSG00000161249.20"
"264",0.0533712763258024,"BLCA","ENSG00000132716.18"
"265",0.00617862242161117,"BLCA","ENSG00000170638.9"
"266",0,"BLCA","ENSG00000151849.14"
"267",0.395710455388445,"BLCA","ENSG00000136143.14"
"268",0.23018849135207,"BLCA","ENSG00000101986.11"
"269",0.00534007987066465,"BLCA","ENSG00000012211.12"
"270",0.0781250893803339,"BLCA","ENSG00000088854.12"
