TCGA_subtype,immune_cell_type,tau,pvalue
PRAD,NK.cells.activated,0.01359355,0.790851772
PRAD,Monocytes,-0.002151261,0.966491038
PRAD,Macrophages.M0,0.086665272,0.104054896
PRAD,Macrophages.M1,-0.005647059,0.912191106
PRAD,Macrophages.M2,-0.035623068,0.48656727
PRAD,Dendritic.cells.resting,0.052273595,0.327428363
PRAD,Dendritic.cells.activated,0.045841467,0.421787071
PRAD,Mast.cells.resting,0.010643341,0.835651473
PRAD,Mast.cells.activated,-0.002858154,0.961588037
PRAD,Eosinophils,0.074295941,0.230715866
PRAD,Neutrophils,-0.019650131,0.750557486
READ,B.cells.naive,-0.184606923,0.052099883
READ,B.cells.memory,0.065029955,0.536234596
READ,Plasma.cells,0.054486048,0.565044619
READ,T.cells.CD8,0.059506531,0.529350608
READ,T.cells.CD4.naive,0.129740408,0.245341489
READ,T.cells.CD4.memory.resting,-0.032355775,0.735040553
READ,T.cells.CD4.memory.activated,0.065668312,0.522934561
READ,T.cells.follicular.helper,-0.163458143,0.084330442
READ,T.cells.regulatory..Tregs.,0.047533394,0.617605201
READ,T.cells.gamma.delta,0.00747143,0.947877781
READ,NK.cells.resting,0.133999412,0.177579844
READ,NK.cells.activated,-0.165528685,0.095817397
READ,Monocytes,-0.06234367,0.525771919
READ,Macrophages.M0,0.132849374,0.160384397
READ,Macrophages.M1,0.089447527,0.348434747
READ,Macrophages.M2,0.14658926,0.121265903
READ,Dendritic.cells.resting,0.067242867,0.50748717
READ,Dendritic.cells.activated,-0.294990955,0.005020172
READ,Mast.cells.resting,-0.07256966,0.490050117
READ,Mast.cells.activated,0.006665581,0.944691998
READ,Eosinophils,-0.151624332,0.174560482
READ,Neutrophils,-0.06663146,0.531933778
THCA,B.cells.naive,0.009302011,0.840173136
THCA,B.cells.memory,0.028562882,0.551929053
THCA,Plasma.cells,-0.141824566,0.001758433
THCA,T.cells.CD8,-0.017185554,0.704438934
THCA,T.cells.CD4.naive,-0.057904349,0.295046883
THCA,T.cells.CD4.memory.resting,0.105525897,0.020031771
THCA,T.cells.CD4.memory.activated,-0.011929938,0.828048309
THCA,T.cells.follicular.helper,-0.01120797,0.804604441
THCA,T.cells.regulatory..Tregs.,0.002098677,0.963394935
THCA,T.cells.gamma.delta,-0.052931464,0.325267192
THCA,NK.cells.resting,0.023814997,0.656596253
THCA,NK.cells.activated,0.006479483,0.886336117
THCA,Monocytes,-0.024462805,0.591588385
THCA,Macrophages.M0,-0.000587629,0.989747266
THCA,Macrophages.M1,-0.024348784,0.592409639
THCA,Macrophages.M2,0.053051059,0.241602237
THCA,Dendritic.cells.resting,0.101654235,0.02920825
THCA,Dendritic.cells.activated,0.030127644,0.543783405
THCA,Mast.cells.resting,-0.039486979,0.388920361
THCA,Mast.cells.activated,-0.046307613,0.385652996
THCA,Eosinophils,-0.004034279,0.941247753
THCA,Neutrophils,0.02875932,0.581856119
UCEC,B.cells.naive,-0.041588286,0.31971627
UCEC,B.cells.memory,0.007791914,0.861037425
UCEC,Plasma.cells,-0.033691942,0.406230997
UCEC,T.cells.CD8,0.047173975,0.244570262
UCEC,T.cells.CD4.naive,-0.081239286,0.096198089
UCEC,T.cells.CD4.memory.resting,0.024130295,0.561666844
UCEC,T.cells.CD4.memory.activated,0.044572925,0.353429596
UCEC,T.cells.follicular.helper,-0.017085105,0.673375584
UCEC,T.cells.regulatory..Tregs.,0.064795014,0.11141036
UCEC,T.cells.gamma.delta,-0.006232436,0.89685702
UCEC,NK.cells.resting,-0.026257182,0.5779909
UCEC,NK.cells.activated,0.025445189,0.531208466
UCEC,Monocytes,-0.02664776,0.522108157
UCEC,Macrophages.M0,0.010851985,0.790175787
UCEC,Macrophages.M1,-0.017642536,0.664992977
UCEC,Macrophages.M2,-0.000695196,0.986316111
UCEC,Dendritic.cells.resting,-0.035204329,0.42735573
UCEC,Dendritic.cells.activated,-0.00354905,0.935716475
UCEC,Mast.cells.resting,-0.087982562,0.043711139
UCEC,Mast.cells.activated,0.06967818,0.115541301
UCEC,Eosinophils,0.012473728,0.799470037
UCEC,Neutrophils,-0.008899272,0.846153996
