"","TCGA_subtype","immune_cell_type","tau","pvalue"
"129","KICH","Dendritic.cells.activated","-0.0156269076979498","0.943008270422733"
"130","KICH","Mast.cells.resting","0.0966285059420747","0.61911246432855"
"131","KICH","Mast.cells.activated","0.171895984677448","0.431642985548327"
"132","KICH","Eosinophils","0.244155673588238","0.271327395275213"
"133","KICH","Neutrophils","0.441641957979107","0.0402285493752228"
"134","KIRC","B.cells.naive","-0.0250852134882829","0.487992542174239"
"135","KIRC","B.cells.memory","-0.015455857078792","0.701404916966587"
"136","KIRC","Plasma.cells","-0.0616681253672245","0.0829973065345908"
"137","KIRC","T.cells.CD8","-0.0374109827504352","0.292055855898656"
"138","KIRC","T.cells.CD4.naive","0.0163575539861629","0.705827856003936"
"139","KIRC","T.cells.CD4.memory.resting","0.0721750841998192","0.0425725024093622"
"140","KIRC","T.cells.CD4.memory.activated","-0.0791532543072174","0.0632196320654124"
"141","KIRC","T.cells.follicular.helper","-0.0364952758058313","0.307344652512469"
"142","KIRC","T.cells.regulatory..Tregs.","-0.0150564905063354","0.675153152851161"
"143","KIRC","T.cells.gamma.delta","-0.00240153073991171","0.953956810442425"
"144","KIRC","NK.cells.resting","0.00665178813018076","0.866897271507476"
"145","KIRC","NK.cells.activated","0.0211315318819928","0.553435346156082"
"146","KIRC","Monocytes","0.0146891228122403","0.67916165758959"
"147","KIRC","Macrophages.M0","-0.0323190479877282","0.42433687857953"
"148","KIRC","Macrophages.M1","0.010397461566347","0.76965855962063"
"149","KIRC","Macrophages.M2","0.0447539167589808","0.207516196948331"
"150","KIRC","Dendritic.cells.resting","0.0448641119849902","0.263686001537936"
"151","KIRC","Dendritic.cells.activated","-0.0151835858645959","0.709588675636591"
"152","KIRC","Mast.cells.resting","-0.0117628006985694","0.745690631162495"
"153","KIRC","Mast.cells.activated","0.0617217665040717","0.127613438927204"
"154","KIRC","Eosinophils","0.00844554091337837","0.844405922701993"
"155","KIRC","Neutrophils","0.0538547376213431","0.151416389142976"
"156","KIRP","B.cells.naive","0.0755815560644402","0.181577069602531"
"157","KIRP","B.cells.memory","-0.0393693264077964","0.45392146919159"
"158","KIRP","Plasma.cells","-0.0535459555687724","0.305263560838353"
"159","KIRP","T.cells.CD8","0.0206752523494605","0.688983250000091"
"160","KIRP","T.cells.CD4.naive","0.0431773356435988","0.492433078974581"
"161","KIRP","T.cells.CD4.memory.resting","-0.0204167054157534","0.692940080793931"
"162","KIRP","T.cells.CD4.memory.activated","0.0373910596177127","0.551046364587253"
"163","KIRP","T.cells.follicular.helper","-0.0222008985321626","0.672002604175091"
"164","KIRP","T.cells.regulatory..Tregs.","-0.0640774209111271","0.219218653482384"
"165","KIRP","T.cells.gamma.delta","0.0841366439043724","0.170224922794552"
"166","KIRP","NK.cells.resting","-0.00523806257454157","0.930635594849519"
"167","KIRP","NK.cells.activated","-0.0568337752163444","0.274024170735423"
"168","KIRP","Monocytes","-0.055476355754546","0.28444553548719"
"169","KIRP","Macrophages.M0","0.0302664289579067","0.58083050862612"
"170","KIRP","Macrophages.M1","0.0792783672640394","0.130231168630408"
"171","KIRP","Macrophages.M2","0.0529759832927254","0.305118545714359"
"172","KIRP","Dendritic.cells.resting","0.018396196146381","0.754946858751867"
"173","KIRP","Dendritic.cells.activated","-0.0944622785870429","0.105878074608622"
"174","KIRP","Mast.cells.resting","-0.0365221423260653","0.482889603858067"
"175","KIRP","Mast.cells.activated","-0.0480492451251654","0.427342862908888"
"176","KIRP","Eosinophils","0.0245427301791934","0.695130561307092"
"177","KIRP","Neutrophils","0.0257625880919811","0.641025267632296"
"178","LIHC","B.cells.naive","0.0113253712809193","0.907281492977755"
"179","LIHC","B.cells.memory","-0.0196914298443702","0.845463801060358"
"180","LIHC","Plasma.cells","0.0766155215564304","0.420187494544548"
"181","LIHC","T.cells.CD8","-0.136429608127721","0.149276385831044"
"182","LIHC","T.cells.CD4.naive","0.119542875367048","0.295582861560359"
"183","LIHC","T.cells.CD4.memory.resting","-0.0659151850671729","0.492693652676538"
"184","LIHC","T.cells.CD4.memory.activated","0.134024934641474","0.225771393699124"
"185","LIHC","T.cells.follicular.helper","-0.242380261248186","0.0104066902892403"
"186","LIHC","T.cells.regulatory..Tregs.","-0.194484760522496","0.0398067787648351"
